Branching	CAT1	Cstrain	DDMME2	E1-101	Lodi	MEN8B	Ranch9
HI914_07351	2.02907	1	1	2.85725	1	2.78403	1	2.86189
HI914_07243	2.88904	2.39548	2.58428	1	2.19237	1	2.99399	1
HI914_07242	1	1	1	1	4.02535	1	3.21637	1
HI914_07040	1	2.75009	5.05441	1	3.96642	3.08353	2.01105	3.97049
HI914_07039	1	2.75009	5.05441	1	3.96642	3.08353	2.01105	3.97049
HI914_07038	1	2.75009	5.05441	1	3.96642	3.08353	2.01105	3.97049
HI914_07037	1	2.75009	5.05441	1	3.96642	3.08353	2.01105	3.97049
HI914_07036	1	2.75009	5.05441	1	3.96642	3.08353	2.01105	3.97049
HI914_07035	1	2.75009	5.05441	1	3.96642	3.08353	2.01105	3.97049
HI914_06966	1	1	2.50381	1	1	1	2.38901	1
HI914_06934	4.90001	3.61387	1	3.01001	1	4.02013	3.75092	3.31903
HI914_06831	1	1	1	1	1	1	1	2.18879
HI914_06749	1	2.09042	2.20921	2.03977	2.00874	1	2.10706	1
HI914_06717	1	1.99612	1	1	1	1	1	1
HI914_06489	1	3.56023	1	4.658	1	1	3.88468	1
HI914_06292	5.19819	6.25647	5.45408	4.17433	6.78474	5.19128	4.11691	5.41377
HI914_06287	1	1	1	1	2.98864	1	1	1
HI914_06001	2.41032	2.56086	2.48445	2.63042	2.55282	2.50739	2.7579	2.36873
HI914_06000	2.41032	2.56086	2.48445	2.63042	2.55282	2.50739	2.7579	2.36873
HI914_05968	1	1	1.92516	1	1	1	1	1
HI914_05941	5.19365	7.61899	6.98089	5.14466	3.98089	6.3728	7.1256	6.45613
HI914_05790	1	1	1	1	1	1	2.06729	1
HI914_05789	1	1	1	1	1	1	2.06729	1
HI914_05651	1.86957	1	2.24494	1.96802	1	1	1	2.04163
HI914_05446	2.72974	1	1	2.69578	1	3.44439	1	1
HI914_05342	1	1	1	1	1	1	4.3416	1
HI914_05181	1	2.38563	1	1	1	1	1	1
HI914_05109	1	3.30226	2.7849	1.97759	2.62854	1	2.56842	1
HI914_04982	2.14149	1	1	1	1	1	1	1
HI914_04962	4.55209	3.80456	4.67015	4.57011	3.71714	4.75165	4.58231	3.62763
HI914_04846	1	1	1	1	2.47725	1	1	1
HI914_04186	1	1	1	1	1	1	1.93688	1
HI914_04054	3.77567	3.88129	4.22877	3.61446	1	4.32999	3.50245	3.92541
HI914_03825	1	2.08873	1	2.09617	1	1	1	2.13139
HI914_03768	1	2.12868	1	1	1	1	1	1
HI914_03537	1	1	1	1	1	2.06803	1	1.96474
HI914_03231	1.92329	2.12557	1	1.94931	2.04507	1	1	1
HI914_03185	1	1	1	1	1.99398	1	1	1
HI914_03184	1	1	1	1	1.99398	1	1	1
HI914_03158	1	1.80029	1	1.91032	1	1	2.08529	1
HI914_03049	1	1	4.94254	1	4.75147	1	4.49612	1
HI914_02778	1	5.72828	1	2.9599	1	5.51087	1	1.98749
HI914_02777	1	5.72828	1	2.9599	1	5.51087	1	1.98749
HI914_02722	1	1.89772	1	1	1	1	1	1
HI914_02445	1	1	1	1	1	1	1	2.78031
HI914_02402	3.15448	2.05708	2.84029	1.95669	3.92097	1.86662	2.97526	1.97645
HI914_02401	3.15448	2.05708	2.84029	1.95669	3.92097	1.86662	2.97526	1.97645
HI914_02400	1	1	1	1.899	1	1	1	1
HI914_02331	4.03086	4.05859	4.51044	1.9687	3.94113	4.25853	4.00908	2.90821
HI914_02276	2.12195	2.07594	2.25246	2.02039	2.02078	1	2.106	1
HI914_02153	2.00757	2.05801	1	2.04844	1	1	2.08679	1
HI914_02152	2.00757	2.05801	2.16971	2.04844	2.06309	1	2.08679	1
HI914_02039	1	1	1	1	2.2488	1	1	1
HI914_01695	1	2.02718	1	2.10497	1	1	1	2.01308
HI914_01694	1	2.02718	1	2.10497	1	1	1	2.01308
HI914_01693	1	2.02718	1	2.10497	1	1	1	2.01308
HI914_01692	1	2.02718	1	2.10497	1	1	1	2.01308
HI914_01691	1	2.02718	1	2.10497	1	1	1	2.01308
HI914_01690	1	2.02718	1	2.10497	1	1	1	2.01308
HI914_01689	1	2.02718	1	2.10497	1	1	1	2.01308
HI914_01688	1	2.02718	1	2.10497	1	1	1	2.01308
HI914_01650	1	5.35501	4.60018	9.24517	1	5.35231	1	3.14575
HI914_01625	2.00163	1.93475	1	1.83659	1.97691	1	1.94308	1.86017
HI914_01624	1	1	1	1	1	1	1	1.86017
HI914_01424	3.22772	2.33587	3.52712	3.12246	3.19903	3.14027	3.28801	3.07254
HI914_01281	2.64662	2.97405	2.975	2.78904	2.6713	2.78705	2.80661	2.64936
HI914_00933	5.96241	6.0019	5.10668	5.98666	6.25389	5.90462	6.06537	4.9426
HI914_00774	1	2.23116	1	2.06686	1	1	3.25648	1
HI914_00773	3.15574	2.23116	1	2.06686	2.23582	1	3.25648	1
HI914_00726	1	2.3957	2.07891	2.36048	2.67367	1	2.48046	1
HI914_00665	2.3584	2.21305	2.40374	1	2.42638	2.04857	2.37412	2.32352
HI914_00630	1	2.01791	2.04452	1	1	1	1	1
HI914_00624	13.5626	5.00552	20.0604	17.4071	2.23817	31.3718	11.6204	1.90359
HI914_00574	1	1	1	2.25701	1	1	1	1.84013
HI914_00474	1	1	1	3.9646	1	1	11.0351	1
HI914_00266	1	1	1	1	1	1	2.55124	1
HI914_00109	1	1	1	1	1	3.01952	1	1
HI914_00108	1	1	1	1	1	3.01952	1	1
HI914_00038	1	1.90096	1	2.0386	1	1	1.86609	1
