#k	29
#unique_kmers	257245273
#error_kmers	208976897
#genomic_kmers	48268376
#main_peak	77
#genome_size_in_peaks	62123949
#genome_size	82751305
#haploid_genome_size	82751305
#fold_coverage	77
#haploid_fold_coverage	77
#ploidy	1
#percent_repeat_in_peaks	22.782
#percent_repeat	41.475
#start	center	stop	max	volume
31	77	121	1516923	43755754
121	153	194	34717	1452573
194	230	269	12245	647290
269	307	348	7996	488681
348	386	387	5499	187986
387	388	427	5180	175393
427	428	431	3841	15123
431	456	504	3966	257692
504	505	507	2954	8803
507	522	523	3074	47288
523	533	670	3137	343933
670	671	674	1779	7012
674	675	1683	1829	583266
