molecule	query	chr	ident	length	mismatches	gaps	qstart	qend	sstart	send	evalue	bitscore
18S	XR_898033.1	chr08	93.357	572	37	1	1	571	4771439	4770868	0.0	857
28S	XR_898035.1	chr08	89.866	2901	256	22	19	2891	4776954	4774064	0.0	3842
5.8S	XR_898034.1	chr08	92.208	154	12	0	1	154	4777293	4777140	2.05e-58	224
18S	XR_898033.1	chr08	92.746	1737	118	4	1	1729	4779284	4777548	0.0	2554
28S	XR_898035.1	chr08	89.866	2901	256	22	19	2891	4784788	4781898	0.0	3842
5.8S	XR_898034.1	chr08	92.208	154	12	0	1	154	4785127	4784974	2.05e-58	224
18S	XR_898033.1	chr08	92.746	1737	118	4	1	1729	4787118	4785382	0.0	2554
28S	XR_898035.1	chr08	89.866	2901	256	22	19	2891	4792634	4789744	0.0	3842
5.8S	XR_898034.1	chr08	92.208	154	12	0	1	154	4792973	4792820	2.05e-58	224
18S	XR_898033.1	chr08	92.746	1737	118	4	1	1729	4794964	4793228	0.0	2554
28S	XR_898035.1	chr08	89.866	2901	256	22	19	2891	4800481	4797591	0.0	3842
5.8S	XR_898034.1	chr08	92.208	154	12	0	1	154	4800820	4800667	2.05e-58	224
18S	XR_898033.1	chr08	92.746	1737	118	4	1	1729	4802811	4801075	0.0	2554
28S	XR_898035.1	chr08	89.866	2901	256	22	19	2891	4808326	4805436	0.0	3842
5.8S	XR_898034.1	chr08	92.208	154	12	0	1	154	4808665	4808512	2.05e-58	224
18S	XR_898033.1	chr08	92.800	1736	118	4	1	1729	4810655	4808920	0.0	2556
28S	XR_898035.1	chr08	89.866	2901	256	22	19	2891	4816110	4813220	0.0	3842
5.8S	XR_898034.1	chr08	92.208	154	12	0	1	154	4816449	4816296	2.05e-58	224
5S	E00049	chr01	93.277	119	8	0	1	119	2051232	2051350	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2052911	2053029	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2054614	2054732	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2056299	2056417	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2057999	2058117	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2059690	2059808	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2061396	2061514	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2063093	2063211	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2064790	2064908	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2066487	2066605	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2068190	2068308	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2069887	2070005	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2071584	2071702	4.62e-46	183
